name,zone_code
43.5 (43я улица),B
Bar Galeón (53я улица),B
Beatles Bar,B
Bolshoi (62я улица),B
Casa de Al. Аль Капоне (1я улица),A
Castell Nuovo Terazza,B
Compas Bar (34я улица),B
Don Alex (31я улица),B
El Aljibe,B
El Ancla (62я улица),B
El Caney (40я улица),B
El Criollo (18я улица),B
El Melaito,B
El Rancho (58я улица),B
El Toro (25я улица),B
La Barbacoa,B
La Cava (62 улица),B
La Terazza Cuba (18я улица),B
La Vaca Rosada. Розовая Корова (21я ул),B
La Vicaria (38я улица),B
La bodeguita del medio (Varadero 40я ул),B
La gruta del vino (59я улица. В парке Хосоне),B
La rampa (43я улица),B
Marisquería Laurent (31я улица),B
Mistique Casa Perla,B
Pina Colada La Vigia,B
Rigo's pizza,B
Salsa Suarez (31я улица),B
Varadero 60 (60я улица),B
Vernissage (36я улица),B
Wacos Club,B
Бар Florидита,B
Бар клуб Calle 62 (62я улица),B
Вилла Дюпона. Коктейли,C
Клуб La Comparсита,B
Пивоварня Factoria 43,B
Рудольфо и его лобстеры (28я-29я),B
